y	yend	x	xend	key	clickSelects	showSelected2	PANEL
-25.2	1.2	0.400309294695035	0.400309294695035	1 0.400309294695035	X1<0.400309	1	1
-25.2	1.2	0.401871886919253	0.401871886919253	1 0.401871886919253	X1<0.401872	1	1
-25.2	1.2	0.40396245860029	0.40396245860029	1 0.40396245860029	X1<0.403962	1	1
-25.2	1.2	0.405984268174507	0.405984268174507	1 0.405984268174507	X1<0.405984	1	1
-25.2	1.2	0.4168148789322	0.4168148789322	1 0.4168148789322	X1<0.416815	1	1
-25.2	1.2	0.427291237749159	0.427291237749159	1 0.427291237749159	X1<0.427291	1	1
-25.2	1.2	0.432563537382521	0.432563537382521	1 0.432563537382521	X1<0.432564	1	1
-25.2	1.2	0.438759828102775	0.438759828102775	1 0.438759828102775	X1<0.438760	1	1
-25.2	1.2	0.441852807882242	0.441852807882242	1 0.441852807882242	X1<0.441853	1	1
-25.2	1.2	0.444241595338099	0.444241595338099	1 0.444241595338099	X1<0.444242	1	1
-25.2	1.2	0.4490931147011	0.4490931147011	1 0.4490931147011	X1<0.449093	1	1
-25.2	1.2	0.457439052755944	0.457439052755944	1 0.457439052755944	X1<0.457439	1	1
-25.2	1.2	0.462654642178677	0.462654642178677	1 0.462654642178677	X1<0.462655	1	1
-25.2	1.2	0.465913347317837	0.465913347317837	1 0.465913347317837	X1<0.465913	1	1
-25.2	1.2	0.473298299242742	0.473298299242742	1 0.473298299242742	X1<0.473298	1	1
-25.2	1.2	0.483675657189451	0.483675657189451	1 0.483675657189451	X1<0.483676	1	1
-25.2	1.2	0.495371556142345	0.495371556142345	1 0.495371556142345	X1<0.495372	1	1
-25.2	1.2	0.502510058227927	0.502510058227927	1 0.502510058227926	X1<0.502510	1	1
-25.2	1.2	0.50866599928122	0.50866599928122	1 0.50866599928122	X1<0.508666	1	1
-25.2	1.2	0.523912533186376	0.523912533186376	1 0.523912533186376	X1<0.523913	1	1
-25.2	1.2	0.536206377553754	0.536206377553754	1 0.536206377553754	X1<0.536206	1	1
-25.2	1.2	0.541436879779212	0.541436879779212	1 0.541436879779212	X1<0.541437	1	1
-25.2	1.2	0.546994024771266	0.546994024771266	1 0.546994024771266	X1<0.546994	1	1
-25.2	1.2	0.5513289043447	0.5513289043447	1 0.5513289043447	X1<0.551329	1	1
-25.2	1.2	0.556530848611146	0.556530848611146	1 0.556530848611146	X1<0.556531	1	1
-25.2	1.2	0.561612074496225	0.561612074496225	1 0.561612074496225	X1<0.561612	1	1
-25.2	1.2	0.56591929984279	0.56591929984279	1 0.56591929984279	X1<0.565919	1	1
-25.2	1.2	0.570373913738877	0.570373913738877	1 0.570373913738877	X1<0.570374	1	1
-25.2	1.2	0.572215375024825	0.572215375024825	1 0.572215375024825	X1<0.572215	1	1
-25.2	1.2	0.573005669168197	0.573005669168197	1 0.573005669168197	X1<0.573006	1	1
-25.2	1.2	0.573851637658663	0.573851637658663	1 0.573851637658663	X1<0.573852	1	1
-25.2	1.2	0.58514691866003	0.58514691866003	1 0.58514691866003	X1<0.585147	1	1
-25.2	1.2	0.60493490321096	0.60493490321096	1 0.60493490321096	X1<0.604935	1	1
-25.2	1.2	0.619537319638766	0.619537319638766	1 0.619537319638766	X1<0.619537	1	1
-25.2	1.2	0.626159008126706	0.626159008126706	1 0.626159008126706	X1<0.626159	1	1
-25.2	1.2	0.628333056811243	0.628333056811243	1 0.628333056811243	X1<0.628333	1	1
-25.2	1.2	0.639989405288361	0.639989405288361	1 0.639989405288361	X1<0.639989	1	1
-25.2	1.2	0.650781711214222	0.650781711214222	1 0.650781711214222	X1<0.650782	1	1
-25.2	1.2	0.656476598698646	0.656476598698646	1 0.656476598698646	X1<0.656477	1	1
-25.2	1.2	0.663753587985411	0.663753587985411	1 0.663753587985411	X1<0.663754	1	1
-25.2	1.2	0.666417032596655	0.666417032596655	1 0.666417032596655	X1<0.666417	1	1
-25.2	1.2	0.667694592149928	0.667694592149928	1 0.667694592149928	X1<0.667695	1	1
-25.2	1.2	0.670081232441589	0.670081232441589	1 0.670081232441589	X1<0.670081	1	1
-25.2	1.2	0.677701175562106	0.677701175562106	1 0.677701175562106	X1<0.677701	1	1
-25.2	1.2	0.688528754864819	0.688528754864819	1 0.688528754864819	X1<0.688529	1	1
-25.2	1.2	0.698014061432332	0.698014061432332	1 0.698014061432332	X1<0.698014	1	1
-25.2	1.2	0.706279883044772	0.706279883044772	1 0.706279883044772	X1<0.706280	1	1
-25.2	1.2	0.72019333508797	0.72019333508797	1 0.72019333508797	X1<0.720193	1	1
-25.2	1.2	0.73169618670363	0.73169618670363	1 0.73169618670363	X1<0.731696	1	1
-25.2	1.2	0.734751404146664	0.734751404146664	1 0.734751404146664	X1<0.734751	1	1
-25.2	1.2	0.742455668747425	0.742455668747425	1 0.742455668747425	X1<0.742456	1	1
-25.2	1.2	0.752031189505942	0.752031189505942	1 0.752031189505942	X1<0.752031	1	1
-25.2	1.2	0.756336993305013	0.756336993305013	1 0.756336993305013	X1<0.756337	1	1
-25.2	1.2	0.757797238882631	0.757797238882631	1 0.757797238882631	X1<0.757797	1	1
-25.2	1.2	0.75944811035879	0.75944811035879	1 0.75944811035879	X1<0.759448	1	1
-25.2	1.2	0.765270584844984	0.765270584844984	1 0.765270584844984	X1<0.765271	1	1
-25.2	1.2	0.774954191991128	0.774954191991128	1 0.774954191991128	X1<0.774954	1	1
